property_id,city,area,property_type,purpose,bedrooms,bathrooms,size_sqft,area_sqft_normalized,price_pkr,price_formatted,developer,has_installment_plan,description,source_url,amenities,qa_flags
LAH-0001,Lahore,Bahria Town - Sector F,House,Sale,6,7,2250,2250.0,61500000,6.15 crore,Bahria Town,False,"Luxury 10 Marla Semi-Furnished Designer House Available for Sale in Bahria Town - Sector F, Bahria Town · 6 bed · 7 bath · 10 Marla",https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_f_luxury_10_marla_semi-furnished_designer_house_available_for_sale-54711022-3097-1.html,furnished,
LAH-0002,Lahore,Park View City,House,Sale,4,4,1125,1125.0,17000000,1.70 crore,Park View,False,"05 Marla Luxury House Avaliable in park view City Lahore in Park View City, Lahore · 4 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/lahore_park_view_city_05_marla_luxury_house_avaliable_in_park_view_city_lahore-54743622-1466-1.html,,
LAH-0003,Lahore,DHA Phase 6 - Block J,House,Sale,5,6,4500,4500.0,89800000,8.98 crore,DHA,False,"1 Kanal Out Standing Top Quality Brand New House With Basement Designed By Mazher Munir For Sale In Dha PHASE 6 in DHA Phase 6 - Block J, DHA Phase 6 · 5 bed · 6 bath · 1 Kanal",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_j_1_kanal_out_standing_top_quality_brand_new_house_with_basement_designed_by_mazher_munir_for_sale_in_dha_phase_6-54686987-1618-1.html,basement|brand_new,
LAH-0004,Lahore,DHA Phase 6,House,Sale,6,7,9000,9000.0,325500000,32.55 crore,DHA,False,"Mazhar Muneer Ultra-Luxury 2-Kanal 6-Bed House | Swimming Pool | Furnished | Top Location | Dolmen | Masjid | Park | Raya Fairways | House For Sale in DHA Phase 6, DHA Defence · 6 bed · 7 bath · 2 Kanal",https://www.zameen.com/Property/dha_defence_dha_phase_6_mazhar_muneer_ultra-luxury_2-kanal_6-bed_house_swimming_pool_furnished_top_location_dolmen_masjid_park_raya_fairways_house_for_sale-54614593-1448-1.html,swimming_pool|furnished|park|mosque,
LAH-0005,Lahore,DHA Phase 7,House,Sale,5,6,4500,4500.0,81100000,8.11 crore,DHA,False,"1 Kanal Top Quality Build Luxurious Beautiful Ultra Modern Design Villa With Basement For Sale In DHA Lahore Phase 7 Prime Location in DHA Phase 7, DHA Defence · 5 bed · 6 bath · 1 Kanal",https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_top_quality_build_luxurious_beautiful_ultra_modern_design_villa_with_basement_for_sale_in_dha_lahore_phase_7_prime_location-54769067-1450-1.html,basement,
LAH-0006,Lahore,DHA 9 Town,Plot,Sale,3,5,1125,1125.0,27000000,2.70 crore,DHA,False,"Corner Access Land 5 Marla House in DHA Phase 9 TOWN in DHA 9 Town, DHA Defence · 3 bed · 5 bath · 5 Marla",https://www.zameen.com/Property/dha_defence_dha_9_town_corner_access_land_5_marla_house_in_dha_phase_9_town-54738548-1452-1.html,corner,plot_with_bedrooms
LAH-0007,Lahore,Al-Kabir Town - Phase 2,House,Sale,3,4,675,675.0,11000000,1.10 crore,Private / Unknown,False,"Al Kabir Town Phase 2 Bautiful House For Sale in Al-Kabir Town - Phase 2, Al-Kabir Town · 3 bed · 4 bath · 3 Marla",https://www.zameen.com/Property/al_kabir_town_al-kabir_town_-_phase_2_al_kabir_town_phase_2_bautiful_house_for_sale-54783974-11704-1.html,,
LAH-0008,Lahore,DHA 11 Rahbar,House,Sale,3,4,1125,1125.0,24000000,2.40 crore,DHA,False,"5 Marla Solar House For Sale in DHA 11 Rahbar, Lahore · 3 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/lahore_dha_11_rahbar_5_marla_solar_house_for_sale-54627315-1410-1.html,solar,
LAH-0009,Lahore,Punjab Coop Housing Society,House,Sale,3,4,1125,1125.0,28500000,2.85 crore,DHA,False,"5 MARLA BEAUTIFUL HOUSE FOR SALE IN PUNJAB SOCIETY NEAR DHA in Punjab Coop Housing Society, Lahore · 3 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/lahore_punjab_coop_housing_society_5_marla_beautiful_house_for_sale_in_punjab_society_near_dha-54783712-456-1.html,,
LAH-0010,Lahore,Bahria Town - Sector E,Flat,Sale,1,1,495,495.0,3600000,36.00 lac,Bahria Town,False,"ONE BED FURNISHED APARTMENT FOR SALE AT SECTOR C BAHRIA TOWN LAHORE in Bahria Town - Sector E, Bahria Town · 1 bed · 1 bath · 2.2 Marla",https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_one_bed_furnished_apartment_for_sale_at_sector_c_bahria_town_lahore-54783637-1802-1.html,furnished,price_per_sqft_outlier
